pressure [meter] at 10,pressure [meter] at 11,pressure [meter] at 12,pressure [meter] at 13,pressure [meter] at 21,pressure [meter] at 22,pressure [meter] at 23,pressure [meter] at 31,pressure [meter] at 32,pressure [meter] at 9,pressure [meter] at 2,flow [cubic meter/hr] at 10,flow [cubic meter/hr] at 11,flow [cubic meter/hr] at 12,flow [cubic meter/hr] at 21,flow [cubic meter/hr] at 22,flow [cubic meter/hr] at 31,flow [cubic meter/hr] at 110,flow [cubic meter/hr] at 111,flow [cubic meter/hr] at 112,flow [cubic meter/hr] at 113,flow [cubic meter/hr] at 121,flow [cubic meter/hr] at 122,flow [cubic meter/hr] at 9,bulk_species_node [MG] at Chlorine @ 11,bulk_species_node [MG] at Chlorine @ 12,bulk_species_node [MG] at Chlorine @ 13,bulk_species_node [MG] at Chlorine @ 21,bulk_species_node [MG] at Chlorine @ 22,bulk_species_node [MG] at Chlorine @ 23,bulk_species_node [MG] at Chlorine @ 31,bulk_species_node [MG] at Chlorine @ 32,bulk_species_node [MG] at AsIII @ 10,bulk_species_node [MG] at AsIII @ 11,bulk_species_node [MG] at AsIII @ 12,bulk_species_node [MG] at AsIII @ 13,bulk_species_node [MG] at AsIII @ 21,bulk_species_node [MG] at AsIII @ 22,bulk_species_node [MG] at AsIII @ 23,bulk_species_node [MG] at AsIII @ 31,bulk_species_node [MG] at AsIII @ 32,bulk_species_node [MG] at AsIII @ 9,bulk_species_node [MG] at AsIII @ 2
232.1865997314453,158.6709442138672,83.44173431396484,86.17892456054688,118.21278381347656,91.23418426513672,91.76557922363281,113.24497985839844,95.99388885498047,0.0,36.57600021362305,1863.227783203125,1455.8199462890625,-57.14401626586914,300.46600341796875,88.33134460449219,54.6489372253418,-1727.759033203125,385.715576171875,-233.34909057617188,-69.9439697265625,67.8607406616211,-41.62117385864258,1863.227783203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234.38067626953125,162.0274200439453,88.0647201538086,90.77328491210938,122.23516082763672,95.73497772216797,96.28155517578125,117.33027648925781,100.3023681640625,0.0,41.2185173034668,1847.26220703125,1443.0535888671875,-56.41205596923828,297.73223876953125,87.59938049316406,54.18355941772461,-1711.79345703125,382.5164489746094,-230.8819122314453,-69.2120132446289,67.3953628540039,-41.15579605102539,1847.26220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.95535278320312,84.95535278320312,88.13330078125,89.42998504638672,87.74463653564453,89.32404327392578,90.8362808227539,87.35484313964844,84.1969223022461,0.0,42.42356491088867,-0.00019214536587242037,-45.92916488647461,23.13438606262207,-10.322748184204102,8.052999496459961,3.9588475227355957,135.46914672851562,24.236780166625977,47.85145568847656,10.33440113067627,17.170671463012695,9.068937301635742,0.0,0.0,0.4429000035134899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.59134674072266,84.59134674072266,87.769287109375,89.06597900390625,87.38063049316406,88.96003723144531,90.47227478027344,86.99083709716797,83.83291625976562,0.0,42.0595588684082,-0.0001900158531498164,-45.92916488647461,23.13438606262207,-10.322748184204102,8.052999496459961,3.9588475227355957,135.46913146972656,24.236780166625977,47.85145568847656,10.33440113067627,17.170671463012695,9.068937301635742,0.0,0.0,0.4428991305494559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.26087188720703,84.26087188720703,87.40735626220703,88.74846649169922,87.0973129272461,88.6614761352539,90.17859649658203,86.78386688232422,83.61441040039062,0.0,41.69554901123047,-0.0001895776658784598,-39.54508972167969,20.571619033813477,-8.676641464233398,6.026562213897705,4.178005218505859,119.91592407226562,21.741273880004883,42.700592041015625,9.145805358886719,15.264019966125488,8.337526321411133,0.0,0.0,0.4428991604512875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.93865203857422,83.93865203857422,87.08514404296875,88.42625427246094,86.77509307861328,88.3392562866211,89.85638427734375,86.4616470336914,83.29219055175781,0.0,41.37333297729492,-0.00018914591055363417,-39.545166015625,20.57166290283203,-8.676660537719727,6.026577472686768,4.178012847900391,119.91615295410156,21.74131965637207,42.70067596435547,9.145819664001465,15.264056205749512,8.337546348571777,0.0,0.0,0.5003435367895219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.61643981933594,83.61643981933594,86.76292419433594,88.10403442382812,86.452880859375,88.01704406738281,89.53416442871094,86.1394271850586,82.96997833251953,0.0,41.051116943359375,-0.0001869908592198044,-39.545162200927734,20.5716609954834,-8.676660537719727,6.026577472686768,4.178012847900391,119.91614532470703,21.74131965637207,42.70067596435547,9.145819664001465,15.264056205749512,8.337546348571777,0.0,0.0,0.5003425511970923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.29421997070312,83.29421997070312,86.44071197509766,87.78181457519531,86.13066101074219,87.69482421875,89.21195220947266,85.81721496582031,82.64775848388672,0.0,40.72890090942383,-0.00018654513405635953,-39.545162200927734,20.5716609954834,-8.676660537719727,6.026577472686768,4.178012847900391,119.91614532470703,21.74131965637207,42.70067596435547,9.145819664001465,15.264055252075195,8.337546348571777,0.0,0.0,0.5003425357283688,0.0,0.0,0.44287309949454734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.9940414428711,82.9940414428711,86.12023162841797,87.50169372558594,85.87409973144531,87.4299545288086,88.94627380371094,85.62056732177734,82.51148986816406,0.0,40.40668487548828,-0.00018567258666735142,-34.91191101074219,17.980857849121094,-7.656256675720215,6.401209831237793,2.8826000690460205,105.4035415649414,19.192956924438477,37.6988639831543,8.356916427612305,13.612131118774414,7.031012058258057,0.0,0.0,0.5003425354855897,0.0,0.0,0.44286669223742325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.71082305908203,82.71082305908203,85.8370132446289,87.21847534179688,85.59088134765625,87.14673614501953,88.66304779052734,85.33734130859375,82.22826385498047,0.0,40.12346267700195,-0.00018523306061979383,-34.911983489990234,17.980899810791016,-7.656272888183594,6.4012250900268555,2.882605791091919,105.40376281738281,19.193002700805664,37.698944091796875,8.35693073272705,13.612164497375488,7.031033992767334,0.0,0.0,0.569232618460452,0.0,0.0,0.4428602850729961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
