pressure [meter] at 10,pressure [meter] at 11,pressure [meter] at 12,pressure [meter] at 13,pressure [meter] at 21,pressure [meter] at 22,pressure [meter] at 23,pressure [meter] at 31,pressure [meter] at 32,pressure [meter] at 9,pressure [meter] at 2,flow [cubic meter/hr] at 10,flow [cubic meter/hr] at 11,flow [cubic meter/hr] at 12,flow [cubic meter/hr] at 21,flow [cubic meter/hr] at 22,flow [cubic meter/hr] at 31,flow [cubic meter/hr] at 110,flow [cubic meter/hr] at 111,flow [cubic meter/hr] at 112,flow [cubic meter/hr] at 113,flow [cubic meter/hr] at 121,flow [cubic meter/hr] at 122,flow [cubic meter/hr] at 9,bulk_species_node [MG] at Chlorine @ 11,bulk_species_node [MG] at Chlorine @ 12,bulk_species_node [MG] at Chlorine @ 13,bulk_species_node [MG] at Chlorine @ 21,bulk_species_node [MG] at Chlorine @ 22,bulk_species_node [MG] at Chlorine @ 23,bulk_species_node [MG] at Chlorine @ 31,bulk_species_node [MG] at Chlorine @ 32,bulk_species_node [MG] at AsIII @ 10,bulk_species_node [MG] at AsIII @ 11,bulk_species_node [MG] at AsIII @ 12,bulk_species_node [MG] at AsIII @ 13,bulk_species_node [MG] at AsIII @ 21,bulk_species_node [MG] at AsIII @ 22,bulk_species_node [MG] at AsIII @ 23,bulk_species_node [MG] at AsIII @ 31,bulk_species_node [MG] at AsIII @ 32,bulk_species_node [MG] at AsIII @ 9,bulk_species_node [MG] at AsIII @ 2
79.2818603515625,79.2818603515625,82.4414291381836,83.818603515625,82.16023254394531,83.71166229248047,85.23394775390625,82.0079116821289,78.93012237548828,0.0,36.728477478027344,-0.00017379051132593304,-37.884639739990234,19.764009475708008,-7.7051873207092285,2.9452316761016846,1.9781006574630737,108.0935287475586,18.43948745727539,37.21474838256836,7.666799545288086,10.905531883239746,6.248485565185547,0.0,0.7549356883314604,0.6349920488059118,0.754935671839244,0.44787225145629483,0.754935688443433,0.43088465824589767,4.790327074209971e-12,0.6365779104300225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.99140930175781,78.99140930175781,82.1509780883789,83.52816009521484,81.86978149414062,83.42121887207031,84.9435043334961,81.71746063232422,78.6396713256836,0.0,36.438026428222656,-0.00017255553393624723,-37.884639739990234,19.764009475708008,-7.7051873207092285,2.9452316761016846,1.9781005382537842,108.0935287475586,18.43948745727539,37.21474838256836,7.666799545288086,10.90553092956543,6.248485088348389,0.0,0.7549247663154861,0.6349908678218328,0.7549247498235082,0.44786577187404636,0.7120262646681728,0.43624800091073324,4.790257770255163e-12,0.6113876513184956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.65990447998047,78.65990447998047,81.85851287841797,83.20684051513672,81.46656036376953,83.04095458984375,84.56294250488281,81.23749542236328,78.14089965820312,0.0,36.147579193115234,-0.00017161815776489675,-44.54751205444336,21.774333953857422,-10.700883865356445,3.209699869155884,2.5763020515441895,123.8188247680664,22.307207107543945,43.69084548950195,9.697582244873047,13.593262672424316,7.959571838378906,0.0,0.7549138444575257,0.6349897109982015,0.7549138279657865,0.49770756421827167,0.7003236802191566,0.539332941944115,4.79018846730301e-12,0.6113788086030576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.32720184326172,78.32720184326172,81.52581024169922,82.87413787841797,81.13385009765625,82.708251953125,84.23023986816406,80.90478515625,77.80818939208984,0.0,35.814876556396484,-0.00017036989447660744,-44.547584533691406,21.77435874938965,-10.700895309448242,3.209730625152588,2.576307535171509,123.81903839111328,22.307254791259766,43.69093704223633,9.697579383850098,13.593295097351074,7.959592342376709,0.0,0.7095005867179787,0.5644939117310335,0.7090295218966067,0.4768998078950574,0.7003135483012451,0.585571296975676,4.790119165353494e-12,0.6097719930642236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.99449920654297,77.99449920654297,81.19310760498047,82.54143524169922,80.8011474609375,82.37554931640625,83.89753723144531,80.57208251953125,77.4754867553711,0.0,35.482173919677734,-0.0001691101788310334,-44.547584533691406,21.774356842041016,-10.700895309448242,3.209730625152588,2.576307535171509,123.81903839111328,22.307254791259766,43.69093704223633,9.697579383850098,13.593294143676758,7.959592342376709,0.0,0.7003034182761757,0.5644918792891889,0.7003034418764512,0.4838229654356808,0.7003034165299171,0.5855624533536321,4.790049864406602e-12,0.6438523724312358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.66179656982422,77.66179656982422,80.86040496826172,82.20873260498047,80.46844482421875,82.04283905029297,83.56483459472656,80.2393798828125,77.14278411865234,0.0,35.14946746826172,-0.00016784240142442286,-44.54758071899414,21.774356842041016,-10.700895309448242,3.209730625152588,2.576307535171509,123.81903076171875,22.307254791259766,43.69093322753906,9.697578430175781,13.593294143676758,7.959591865539551,0.0,0.7002932866514034,0.5644907574375314,0.7002933102513373,0.6949579470744112,0.6349484010335235,0.5913802542623885,0.0070808321509440875,0.5671907679982428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.30186462402344,77.30186462402344,80.52547454833984,81.80979919433594,80.0701675415039,81.64105987548828,83.16242218017578,79.80352020263672,76.65840911865234,0.0,34.81676483154297,-0.00016752033843658864,-48.40053939819336,25.75136375427246,-10.292346000671387,3.716371774673462,3.7443530559539795,139.35946655273438,24.15591049194336,48.11869430541992,9.805668830871582,14.755279541015625,8.985689163208008,0.0,0.6709086244913732,0.5644896016950995,0.7002831787728028,0.713271923349823,0.6349392149310696,0.639348689472814,0.4359678353895777,0.5698116841552691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.92739868164062,76.92739868164062,80.15101623535156,81.43534088134766,79.6957015991211,81.26659393310547,82.78795623779297,79.42906188964844,76.283935546875,0.0,34.44230270385742,-0.0001652906066738069,-48.40062713623047,25.75137710571289,-10.292327880859375,3.7164132595062256,3.744342803955078,139.35968017578125,24.15597152709961,48.118778228759766,9.805654525756836,14.755295753479004,8.985724449157715,0.0,0.6349300289607315,0.5104523908961586,0.6349300289614209,0.7162060776752053,0.6349300289615156,0.6323648653212173,0.4478397719737589,0.5327714545975548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.55294036865234,76.55294036865234,79.77655792236328,81.06087493896484,79.32124328613281,80.89213562011719,82.41349792480469,79.05459594726562,75.90947723388672,0.0,34.067840576171875,-0.00016431133553851396,-48.4006233215332,25.75137710571289,-10.292326927185059,3.7164130210876465,3.744342803955078,139.35968017578125,24.15597152709961,48.118778228759766,9.805654525756836,14.755295753479004,8.985724449157715,0.0,0.6349208431240753,0.5104505839263623,0.6349208431247647,0.7189932293166758,0.5644606614425212,0.6323550507514719,0.4478332928614067,0.5327647824909308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.17848205566406,76.17848205566406,79.40209197998047,80.68641662597656,78.94678497314453,80.51766967773438,82.0390396118164,78.68013763427734,75.5350112915039,0.0,33.69337844848633,-0.00016366127238143235,-48.4006233215332,25.751375198364258,-10.292326927185059,3.7164130210876465,3.744342803955078,139.35968017578125,24.15597152709961,48.118778228759766,9.805654525756836,14.755294799804688,8.985724449157715,0.0,0.6339375652929784,0.5104494213436851,0.6342937583595897,0.7400982830554839,0.564452495119937,0.6578051189317097,0.4779868937646351,0.4942847682376688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
